Nitrogen,Phosphorus,Potassium,Moisture,Temperature,Conductivity,pH,Label
31.72,13.45,25.63,54.78,21.34,0.32,6.93,Loamy Soil
25.14,18.27,22.17,50.12,19.82,0.34,7.19,Loamy Soil
33.89,12.68,27.41,57.45,23.11,0.28,7.37,Loamy Soil
37.28,16.92,29.15,59.27,24.87,0.37,6.45,Loamy Soil
22.47,11.36,17.84,48.92,16.59,0.22,6.75,Loamy Soil
28.14,14.73,21.05,52.33,20.05,0.25,7.14,Loamy Soil
36.02,19.43,26.79,58.06,24.43,0.31,7.48,Loamy Soil
30.75,17.08,24.28,53.64,22.48,0.29,7.02,Loamy Soil
24.89,10.87,18.76,49.76,17.91,0.33,6.68,Loamy Soil
34.56,15.61,28.63,55.89,23.76,0.36,6.84,Loamy Soil
32.18,16.34,26.49,55.73,22.93,0.35,7.24,Loamy Soil
26.79,13.79,23.36,51.42,20.62,0.27,6.56,Loamy Soil
35.42,18.61,29.93,56.96,24.19,0.3,6.79,Loamy Soil
39.08,14.26,31.67,58.78,25.95,0.38,7.43,Loamy Soil
24.32,12.12,20.32,49.09,17.26,0.23,6.91,Loamy Soil
29.65,15.48,24.6,53.5,21.72,0.26,7.32,Loamy Soil
37.73,20.18,27.04,59.61,25.3,0.32,7.16,Loamy Soil
31.06,17.83,25.52,54.19,23.35,0.28,6.7,Loamy Soil
25.2,11.52,19,50.31,18.78,0.34,6.82,Loamy Soil
34.87,16.17,28.08,56.44,24.04,0.37,7.12,Loamy Soil
33.52,14.61,27.87,57.12,23.57,0.31,6.98,Loamy Soil
27.14,12.94,23.81,51.84,21.04,0.32,7.23,Loamy Soil
36.19,17.26,30.22,59.94,25.48,0.35,6.75,Loamy Soil
40.75,13.61,32.89,61.76,26.94,0.39,7.41,Loamy Soil
25.92,11.97,21.68,50.5,18.47,0.29,7.1,Loamy Soil
30.25,15.32,25.15,54.88,22.91,0.33,6.63,Loamy Soil
38.33,19.02,28.59,60.01,26.49,0.36,6.87,Loamy Soil
